2025-04-27 20:56:18 | INFO     | app.routes   | Model not cached. Attempting to load and decrypt...
2025-04-27 20:56:18 | INFO     | app.utils    | Keras model loaded successfully from temporary file.
2025-04-27 20:56:18 | INFO     | app.routes   | Defended model loaded and cached successfully.
2025-04-27 20:56:19 | INFO     | app.routes   | Prediction by model successful: Class=4, Confidence=0.4105
2025-04-27 20:58:55 | INFO     | app.routes   | Prediction request via web form from user 'predictor01'
2025-04-27 20:58:55 | INFO     | app.routes   | Prediction by model successful: Class=2, Confidence=0.9991
2025-04-27 20:59:54 | INFO     | app.routes   | Prediction request via web form from user 'predictor01'
2025-04-27 20:59:54 | INFO     | app.routes   | Prediction by model successful: Class=2, Confidence=0.9991
2025-04-27 21:04:31 | INFO     | app.routes   | Prediction request via web form from user 'predictor01'
2025-04-27 21:04:31 | INFO     | app.routes   | Prediction by model successful: Class=0, Confidence=0.6789
2025-04-27 21:04:39 | INFO     | app.routes   | Prediction request via web form from user 'predictor01'
2025-04-27 21:04:39 | INFO     | app.routes   | Prediction by model successful: Class=0, Confidence=0.6789
2025-04-27 21:06:08 | INFO     | app.routes   | Prediction request via web form from user 'predictor01'
2025-04-27 21:06:08 | INFO     | app.routes   | Prediction by model successful: Class=9, Confidence=0.9991
2025-04-27 21:09:20 | INFO     | app.auth     | Token invalidated for user 'predictor01' (Logout)
2025-04-27 21:09:20 | INFO     | app.routes   | User 'predictor01' logged out (session cleared, server token invalidated).
2025-04-27 21:09:39 | INFO     | app.routes   | Login attempt for username: 'admin01'
2025-04-27 21:09:40 | WARNING  | app.routes   | Login failed: Invalid credentials for username 'admin01'
2025-04-27 21:09:50 | INFO     | app.routes   | Login attempt for username: 'admin01'
2025-04-27 21:09:50 | WARNING  | app.routes   | Login failed: Invalid credentials for username 'admin01'
2025-04-27 21:10:27 | INFO     | app.routes   | Login attempt for username: 'admin01'
2025-04-27 21:10:27 | WARNING  | app.routes   | Login failed: Invalid credentials for username 'admin01'
2025-04-27 21:14:26 | INFO     | app.routes   | Login attempt for username: 'predictor01'
2025-04-27 21:14:26 | WARNING  | app.routes   | Login failed: Invalid credentials for username 'predictor01'
2025-04-27 21:14:36 | INFO     | app.routes   | Login attempt for username: 'predictor01'
2025-04-27 21:14:36 | INFO     | app.auth     | Generated token for user 'predictor01' (Role: predictor). Expires at 2025-04-27 22:14:36
2025-04-27 21:14:36 | INFO     | app.routes   | Login successful for user 'predictor01'. Token stored in session.
2025-04-27 21:14:42 | INFO     | app.auth     | Token invalidated for user 'predictor01' (Logout)
2025-04-27 21:14:42 | INFO     | app.routes   | User 'predictor01' logged out (session cleared, server token invalidated).
2025-04-27 21:15:27 | INFO     | app.routes   | Login attempt for username: 'admin01'
2025-04-27 21:15:27 | WARNING  | app.routes   | Login failed: Invalid credentials for username 'admin01'
2025-04-27 21:15:37 | INFO     | app.routes   | Login attempt for username: 'admin01'
2025-04-27 21:15:38 | WARNING  | app.routes   | Login failed: Invalid credentials for username 'admin01'
2025-04-27 21:15:47 | INFO     | app.routes   | Login attempt for username: 'admin01'
2025-04-27 21:15:47 | WARNING  | app.routes   | Login failed: Invalid credentials for username 'admin01'
2025-04-27 21:22:41 | INFO     | root         | Logging initialized.
2025-04-27 21:22:41 | INFO     | app          | Creating Flask application...
2025-04-27 21:22:41 | INFO     | app          | Attempting to set explicit template folder: G:\semester 6\IS\project\templates
2025-04-27 21:22:41 | INFO     | app          | Flask App Root Path: G:\semester 6\IS\project\app
2025-04-27 21:22:41 | INFO     | app          | Flask Template Folder (set explicitly): G:\semester 6\IS\project\templates
2025-04-27 21:22:41 | INFO     | app          | Flask application created successfully.
2025-04-27 21:22:41 | INFO     | __main__     | Starting Flask development server...
2025-04-27 21:22:49 | INFO     | root         | Logging initialized.
2025-04-27 21:22:49 | INFO     | app          | Creating Flask application...
2025-04-27 21:22:49 | INFO     | app          | Attempting to set explicit template folder: G:\semester 6\IS\project\templates
2025-04-27 21:22:49 | INFO     | app          | Flask App Root Path: G:\semester 6\IS\project\app
2025-04-27 21:22:49 | INFO     | app          | Flask Template Folder (set explicitly): G:\semester 6\IS\project\templates
2025-04-27 21:22:49 | INFO     | app          | Flask application created successfully.
2025-04-27 21:22:49 | INFO     | __main__     | Starting Flask development server...
2025-04-27 21:22:49 | WARNING  | werkzeug     |  * Debugger is active!
2025-04-27 21:22:55 | WARNING  | app.routes   | Access denied to /. User not logged in.
2025-04-27 21:23:01 | INFO     | app.routes   | Login attempt for username: 'shahmir'
2025-04-27 21:23:02 | INFO     | app.auth     | Generated token for user 'shahmir' (Role: admin). Expires at 2025-04-27 22:23:02
2025-04-27 21:23:02 | INFO     | app.routes   | Login successful for user 'shahmir'. Token stored in session.
2025-04-27 21:23:16 | INFO     | app.routes   | Log view request from admin user 'shahmir'
2025-04-27 21:23:30 | INFO     | app.routes   | Prediction request via web form from user 'shahmir'
2025-04-27 21:23:30 | INFO     | app.routes   | Model not cached. Attempting to load and decrypt...
2025-04-27 21:23:30 | INFO     | app.utils    | Keras model loaded successfully from temporary file.
2025-04-27 21:23:30 | INFO     | app.routes   | Defended model loaded and cached successfully.
2025-04-27 21:23:31 | INFO     | app.routes   | Prediction by model successful: Class=0, Confidence=0.6789
2025-04-28 12:39:25 | INFO     | root         | Logging initialized.
2025-04-28 12:39:25 | INFO     | app          | Creating Flask application...
2025-04-28 12:39:25 | INFO     | app          | Attempting to set explicit template folder: G:\semester 6\IS\project\templates
2025-04-28 12:39:25 | INFO     | app          | Flask App Root Path: G:\semester 6\IS\project\app
2025-04-28 12:39:25 | INFO     | app          | Flask Template Folder (set explicitly): G:\semester 6\IS\project\templates
2025-04-28 12:39:25 | INFO     | app          | Flask application created successfully.
2025-04-28 12:39:25 | INFO     | __main__     | Starting Flask development server...
2025-04-28 12:39:30 | INFO     | root         | Logging initialized.
